id,label,node_type,strain_id,module_id,entity_class,identifier,description,source_url,kegg_gene_ids,ko_ids,ec_numbers,kegg_pathways,kegg_modules,ncbi_protein_ids,uniprot_ids,pubchem_cid,kegg_compound,chebi_id,metacyc_candidate,metacyc_status,annotation_status
gene:gmet_bsscab,Gmet_1538-Gmet_1540 bssCAB,gene,gmet_gs15,gmet_aromatics,enzyme_cluster,Gmet_1538-Gmet_1540,Benzylsuccinate synthase cluster for anaerobic toluene activation,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_1538;gme:Gmet_1539;gme:Gmet_1540,K07540;K29040;K29041,4.1.99.11,gme00623;gme01100;gme01120;gme01220,,ABB31772;ABB31773;ABB31774,Q39VF0;Q39VF1;Q39VF2,,,,,,kegg_enriched
gene:gmet_bbsabcd,Gmet_1528-Gmet_1531 bbsABCD,gene,gmet_gs15,gmet_aromatics,enzyme_cluster,Gmet_1528-Gmet_1531,Benzylsuccinate oxidation cluster downstream of toluene activation,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_1528;gme:Gmet_1529;gme:Gmet_1530;gme:Gmet_1531,K07548;K07549;K07550,1.1.1.429;2.3.1.310,gme00623;gme01100;gme01120;gme01220,,ABB31762;ABB31763;ABB31764;ABB31765,Q39VF9;Q39VG0;Q39VG1;Q39VG2,,,,,,kegg_enriched
gene:gmet_bbs_efgh,Gmet_1521-Gmet_1524 bbsEFGH,gene,gmet_gs15,gmet_aromatics,enzyme_cluster,Gmet_1521-Gmet_1524,Additional benzylsuccinate oxidation cluster,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_1521;gme:Gmet_1522;gme:Gmet_1523;gme:Gmet_1524,K07543;K07544;K07545;K07546,1.3.8.3;2.8.3.15;4.2.1.180,gme00623;gme01100;gme01120;gme01220,,ABB31755;ABB31756;ABB31757;ABB31758,Q39VG6;Q39VG7;Q39VG8;Q39VG9,,,,,,kegg_enriched
gene:gmet_phenylphosphate_synthase,Gmet_2100-Gmet_2101 phenylphosphate synthase,gene,gmet_gs15,gmet_aromatics,enzyme_cluster,Gmet_2100-Gmet_2101,Two-subunit phenylphosphate synthase predicted for anaerobic phenol metabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_2100;gme:Gmet_2101,K25936;K25937,2.7.1.238,gme00627;gme01120,,ABB32329;ABB32330,Q39TU4;Q39TU5,,,,,,kegg_enriched
gene:gmet_phenylphosphate_carboxylase,Gmet_2102 phenylphosphate carboxylase,gene,gmet_gs15,gmet_aromatics,enzyme,Gmet_2102,Phenylphosphate carboxylase predicted to convert phenylphosphate toward 4-hydroxybenzoate,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_2102,,,,,ABB32331,Q39TU3,,,,,,kegg_enriched
gene:gmet_p_cresol_methylhydroxylase,Gmet_2125-Gmet_2126 p-cresol methylhydroxylase,gene,gmet_gs15,gmet_aromatics,enzyme_cluster,Gmet_2125-Gmet_2126,Two-subunit methylhydroxylase homologs for p-cresol metabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_2125;gme:Gmet_2126,K05797,1.17.9.1,gme00623;gme01100;gme01120,,ABB32354;ABB32355,Q39TR9;Q39TS0,,,,,,kegg_enriched
gene:gmet_2131_dehydrogenase,Gmet_2131 aldehyde dehydrogenase,gene,gmet_gs15,gmet_aromatics,enzyme,Gmet_2131,Predicted dehydrogenase for 4-hydroxybenzaldehyde and benzaldehyde conversion,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_2131,K21802,1.2.1.67,gme00627;gme01100;gme01120,,ABB32360,Q39TR4,,,,,,kegg_enriched
gene:gmet_2235_dehydrogenase,Gmet_2235 benzyl alcohol dehydrogenase,gene,gmet_gs15,gmet_aromatics,enzyme,Gmet_2235,Predicted benzyl alcohol dehydrogenase,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_2235,K00004,1.1.1.303;1.1.1.4,gme00650;gme01110,,ABB32462,Q39TG2,,,,,,kegg_enriched
gene:gmet_4hbcoa_reductase,Gmet_2134-Gmet_2136 4-hydroxybenzoyl-CoA reductase,gene,gmet_gs15,gmet_aromatics,enzyme_cluster,Gmet_2134-Gmet_2136,4-hydroxybenzoyl-CoA reductase operon-like cluster,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_2134;gme:Gmet_2135;gme:Gmet_2136,K03519,1.2.5.3,,,ABB32363;ABB32364;ABB32365,Q39TQ9;Q39TR0;Q39TR1,,,,,,kegg_enriched
gene:gmet_bam_y,Gmet_2143 benzoate-CoA ligase,gene,gmet_gs15,gmet_aromatics,enzyme,Gmet_2143,Predicted benzoate-CoA ligase/BclA/BamY for benzoate activation,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_2143,,,,,ABB32372,Q39TQ2,,,,,,kegg_enriched
gene:gmet_bamb,Gmet_2087 BamB,gene,gmet_gs15,gmet_aromatics,enzyme,Gmet_2087,Putative dearomatizing enzyme component strongly induced during benzoate oxidation,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_2087,K19515,1.3.-.-,gme00362;gme01100;gme01120;gme01220,gme_M00541,ABB32316,Q39TV8,,,,,,kegg_enriched
gene:gmet_bamc,Gmet_2086 BamC,gene,gmet_gs15,gmet_aromatics,enzyme,Gmet_2086,4Fe-4S binding component induced during benzoate oxidation,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_2086,K19516,1.3.-.-,gme00362;gme01100;gme01120;gme01220,gme_M00541,ABB32315,Q39TV9,,,,,,kegg_enriched
gene:gmet_bamr,Gmet_2150 BamR/Dch,gene,gmet_gs15,gmet_aromatics,enzyme,Gmet_2150,"Cyclohexa-1,5-diene-1-carbonyl-CoA hydratase induced during benzoate oxidation",https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_2150,K07537,4.2.1.100,gme00362;gme01100;gme01120;gme01220,gme_M00541,ABB32379,Q39TP5,,,,,,kegg_enriched
gene:gmet_bamq,Gmet_2151 BamQ/Had,gene,gmet_gs15,gmet_aromatics,enzyme,Gmet_2151,6-hydroxycyclohex-1-en-1-carbonyl-CoA dehydrogenase induced during benzoate oxidation,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_2151,K07538,1.1.1.368,gme00362;gme01100;gme01120;gme01220,gme_M00541,ABB32380,Q39TP4,,,,,,kegg_enriched
gene:gmet_oah2,Gmet_3305 Oah2,gene,gmet_gs15,gmet_aromatics,enzyme,Gmet_3305,6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase paralog induced during benzoate oxidation,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,gme:Gmet_3305,K07539,3.7.1.21,gme00362;gme01100;gme01120;gme01220,gme_M00541,ABB33518,Q39QF6,,,,,,kegg_enriched
gene:gsu_ars_operon,GSU2950-GSU2959 ars operon,gene,gsu_pca,gsu_arsenic,operon,GSU2950-GSU2959,Arsenic detoxification operon containing arsR1 arsC acr3 arsP thioredoxin and efflux components,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,gsu:GSU2950;gsu:GSU2951;gsu:GSU2952;gsu:GSU2953;gsu:GSU2954;gsu:GSU2955;gsu:GSU2956;gsu:GSU2957;gsu:GSU2958;gsu:GSU2959,K02049;K02050;K03325;K03671;K03741;K03892;K06196;K07089,1.20.4.4,,,AAR36342;AAR36343;AAR36344;AAR36345;AAR36346;AAR36347;AAR36348;AAR36349;AAR36350;AAR36351,Q748P2;Q748P3;Q748P4;Q748P5;Q748P6;Q748P7;Q748P8;Q748P9;Q748Q0;Q748Q1,,,,,,kegg_enriched
gene:gsu_arsr1,GSU2952 ArsR1,gene,gsu_pca,gsu_arsenic,regulator,GSU2952,ArsR-family regulator controlling the G. sulfurreducens ars operon,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,gsu:GSU2952,K03892,,,,AAR36344,Q748P9,,,,,,kegg_enriched
gene:gsu_arsc,GSU2953 ArsC,gene,gsu_pca,gsu_arsenic,enzyme,GSU2953,Thioredoxin-associated arsenate reductase,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,gsu:GSU2953,K03741,1.20.4.4,,,AAR36345,Q748P8,,,,,,kegg_enriched
gene:gsu_acr3,GSU2954 Acr3,gene,gsu_pca,gsu_arsenic,transporter,GSU2954,Arsenite efflux pump required for arsenic tolerance,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,gsu:GSU2954,K03325,,,,AAR36346,Q748P7,,,,,,kegg_enriched
gene:gmet_arsc,Gmet_0521 ArsC,gene,gmet_gs15,gmet_arsenic,enzyme,Gmet_0521,Predicted arsenate reductase in G. metallireducens,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,gme:Gmet_0521,K03741,1.20.4.4,,,ABB30764,Q39YB0,,,,,,kegg_enriched
gene:gmet_acr3,Gmet_0520 Acr3,gene,gmet_gs15,gmet_arsenic,transporter,Gmet_0520,Predicted arsenite efflux pump in G. metallireducens,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,gme:Gmet_0520,K03325,,,,ABB30763,Q39YB1,,,,,,kegg_enriched
gene:gmet_arsm,Gmet_2791 ArsM,gene,gmet_gs15,gmet_arsenic,enzyme,Gmet_2791,Predicted arsenite S-adenosylmethyltransferase,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,gme:Gmet_2791,K07755,2.1.1.137,,,ABB33009,Q39RW5,,,,,,kegg_enriched
system:gsu_eet_cytochromes,PCA multiheme c-type cytochrome EET system,system,gsu_pca,gsu_metal_redox,redox_system,"ImcH,CbcL,PpcA-E,OmcB,OmcE,OmcS,OmcT,OmcZ",Extracellular electron-transfer system supporting metal/electrode reduction,https://pmc.ncbi.nlm.nih.gov/articles/PMC5585712/,,,,,,,,,,,,,seed_curated
system:glov_unknown_rdase,SZ organohalide reductive dechlorination system,system,glov_sz,glov_organochlorine,redox_system,unresolved,Phenotype-supported PCE/TCE chlororespiration system; specific rdase assignment unresolved in this seed graph,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,,,,,,,,,,,,,seed_curated
system:geo_iae_unknown_rdase,IAE chlorinated-ethane dihaloelimination system,system,geo_iae,geo_iae_organochlorine,redox_system,unresolved,Population-dynamics-supported dihaloelimination system; specific rdase assignment unresolved in this seed graph,https://www.osti.gov/servlets/purl/1860551,,,,,,,,,,,,,seed_curated
compound:toluene,Toluene,compound,,gmet_aromatics,monoaromatic,PubChem:1140,Aromatic hydrocarbon and environmental pollutant,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,,,,,,,,1140,C01455,CHEBI:17578,TOLUENE,candidate_unverified,compound_xref_enriched
compound:phenol,Phenol,compound,,gmet_aromatics,phenolic,PubChem:996,Phenolic aromatic substrate for G. metallireducens,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,,,,,,,,996,C00146,CHEBI:15882,PHENOL,candidate_unverified,compound_xref_enriched
compound:p_cresol,p-Cresol,compound,,gmet_aromatics,phenolic,PubChem:2879,Methylphenol substrate for G. metallireducens,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,,,,,,,,2879,C01468,CHEBI:17847,P-CRESOL,candidate_unverified,compound_xref_enriched
compound:benzyl_alcohol,Benzyl alcohol,compound,,gmet_aromatics,aromatic_alcohol,PubChem:244,Aromatic alcohol substrate,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,,,,,,,,244,C00556,CHEBI:17987,BENZYL-ALCOHOL,candidate_unverified,compound_xref_enriched
compound:benzaldehyde,Benzaldehyde,compound,,gmet_aromatics,aromatic_aldehyde,PubChem:240,Aromatic aldehyde substrate,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,,,,,,,,240,C00261,CHEBI:17169,BENZALDEHYDE,candidate_unverified,compound_xref_enriched
compound:4_hydroxybenzaldehyde,4-Hydroxybenzaldehyde,compound,,gmet_aromatics,aromatic_aldehyde,PubChem:126,Hydroxyaromatic aldehyde substrate,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,,,,,,,,126,C00633,CHEBI:17702,CPD-125,candidate_unverified,compound_xref_enriched
compound:4_hydroxybenzoate,4-Hydroxybenzoate,compound,,gmet_aromatics,hydroxybenzoate,ChEBI:30763,Hydroxybenzoate intermediate/substrate,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,,,,,,,,135,C00156,CHEBI:30763,4-HYDROXYBENZOATE,candidate_unverified,compound_xref_enriched
compound:benzoate,Benzoate,compound,,gmet_aromatics,aromatic_acid,ChEBI:16150,Central aromatic acid feeding benzoyl-CoA metabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,,,,,,,,242,C00180,CHEBI:16150,BENZOATE,candidate_unverified,compound_xref_enriched
compound:benzoyl_coa,Benzoyl-CoA,compound,,gmet_aromatics,central_intermediate,ChEBI:15515,Central anaerobic aromatic degradation intermediate,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,,,,,,,,9543169,C00512,CHEBI:15515,BENZOYL-COA,candidate_unverified,compound_xref_enriched
compound:3_hydroxypimelyl_coa,3-Hydroxypimelyl-CoA,compound,,gmet_aromatics,downstream_intermediate,,Dearomatized downstream intermediate leading to acetyl-CoA,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,,,,,,,,,,,,,seed_curated
compound:acetyl_coa,Acetyl-CoA,compound,,gmet_aromatics,central_metabolite,ChEBI:15351,Central metabolite generated by downstream aromatic degradation,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,,,,,,,,444493,C00024,CHEBI:15351,ACETYL-COA,candidate_unverified,compound_xref_enriched
compound:arsenate,Arsenate As(V),compound,,gsu_arsenic;gmet_arsenic,inorganic_toxicant,ChEBI:22631,Oxidized arsenic species reduced by ArsC for detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,,,,,,,,27401,C11215,CHEBI:22631,,,compound_xref_enriched
compound:arsenite,Arsenite As(III),compound,,gsu_arsenic;gmet_arsenic,inorganic_toxicant,ChEBI:22632,Reduced arsenic species exported by Acr3 and potentially methylated by ArsM in some species,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,,,,,,,,544,C06697,CHEBI:22632,,,compound_xref_enriched
compound:chromate,Chromate Cr(VI),compound,,gsu_metal_redox,inorganic_toxicant,ChEBI:35404,Toxic hexavalent chromium oxyanion reduced by G. sulfurreducens cells,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,,,,,,,,24461,,CHEBI:35404,,,compound_xref_enriched
compound:chromium_iii,Chromium(III),compound,,gsu_metal_redox,reduced_metal_product,,Reduced Cr(III) product,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,,,,,,,,,,,,,seed_curated
compound:uranium_vi,Uranium(VI),compound,,gsu_metal_redox;glov_organochlorine,radionuclide_toxicant,,Soluble uranium species reducible by Geobacter biofilms/strains,https://pmc.ncbi.nlm.nih.gov/articles/PMC4249037/,,,,,,,,,,,,,compound_xref_enriched
compound:uranium_iv,Uranium(IV),compound,,gsu_metal_redox;glov_organochlorine,reduced_radionuclide_product,,Reduced uranium species associated with immobilization,https://pmc.ncbi.nlm.nih.gov/articles/PMC4249037/,,,,,,,,,,,,,compound_xref_enriched
compound:vanadium_v,Vanadium(V),compound,,gsu_metal_redox,inorganic_toxicant,,VO2(edta)3- model oxidant reduced by G. sulfurreducens,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,,,,,,,,,,,,,compound_xref_enriched
compound:vanadium_iv,Vanadium(IV),compound,,gsu_metal_redox,reduced_metal_product,,Reduced vanadium product,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,,,,,,,,,,,,,compound_xref_enriched
compound:manganese_vii,Permanganate Mn(VII),compound,,gsu_metal_redox,inorganic_oxidant,,Permanganate model oxidant reduced by G. sulfurreducens,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,,,,,,,,,,,,,compound_xref_enriched
compound:manganese_iv,Manganese(IV),compound,,gsu_metal_redox,reduced_metal_product,,Reduced Mn(IV) product from permanganate in kinetic study,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,,,,,,,,,,,,,compound_xref_enriched
compound:pce,Tetrachloroethene PCE,compound,,glov_organochlorine,organohalide,PubChem:31373,Chlorinated ethene electron acceptor reduced by G. lovleyi SZ,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,,,,,,,,31373,C06789,CHEBI:17300,TETRACHLOROETHENE,candidate_unverified,compound_xref_enriched
compound:tce,Trichloroethene TCE,compound,,glov_organochlorine,organohalide,PubChem:6575,Chlorinated ethene electron acceptor reduced by G. lovleyi SZ,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,,,,,,,,6575,C06790,CHEBI:16602,TRICHLOROETHENE,candidate_unverified,compound_xref_enriched
compound:cis_dce,"cis-1,2-Dichloroethene",compound,,glov_organochlorine,organohalide_product,PubChem:643833,Product of PCE/TCE dechlorination by G. lovleyi SZ,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,,,,,,,,643833,C06792,CHEBI:28805,"CIS-1,2-DICHLOROETHENE",candidate_unverified,compound_xref_enriched
compound:1_2_dca,"1,2-Dichloroethane",compound,,geo_iae_organochlorine,organohalide,PubChem:11,Chlorinated ethane substrate dihaloeliminated by Geobacter sp. strain IAE,https://www.osti.gov/servlets/purl/1860551,,,,,,,,11,C06752,CHEBI:27789,"1,2-DICHLOROETHANE",candidate_unverified,compound_xref_enriched
compound:1_1_2_tca,"1,1,2-Trichloroethane",compound,,geo_iae_organochlorine,organohalide,PubChem:6574,Chlorinated ethane substrate dihaloeliminated by Geobacter sp. strain IAE,https://www.osti.gov/servlets/purl/1860551,,,,,,,,6574,C19536,CHEBI:36018,"1,1,2-TRICHLOROETHANE",candidate_unverified,compound_xref_enriched
compound:vinyl_chloride,Vinyl chloride,compound,,geo_iae_organochlorine,organohalide_intermediate,PubChem:6338,"Product of 1,1,2-TCA dihaloelimination and substrate for partner Dhc hydrogenolysis",https://www.osti.gov/servlets/purl/1860551,,,,,,,,6338,C06793,CHEBI:28509,VINYL-CHLORIDE,candidate_unverified,compound_xref_enriched
compound:ethene,Ethene,compound,,geo_iae_organochlorine,detoxified_product,PubChem:6325,"Benign dechlorination product from 1,2-DCA and final product in IAE-Dhc consortium",https://www.osti.gov/servlets/purl/1860551,,,,,,,,6325,C06547,CHEBI:18153,ETHYLENE,candidate_unverified,compound_xref_enriched
strain:dhc_195,Dehalococcoides mccartyi 195,strain,dhc_195,,organism,NCBI Taxonomy 243164,"Obligate organohalide-respiring anaerobe (Chloroflexota) that catalyzes complete reductive dechlorination of tetrachloroethene (PCE) through TCE, cis-DCE, and vinyl chloride to non-toxic ethene. Terminal-step dehalogenator distinct from Geobacter which stalls at cis-DCE.",https://pubmed.ncbi.nlm.nih.gov/17513589/,,,,,,,,,,,,,seed_curated
module:dhc_organohalide,Dehalococcoides complete-dechlorination module,module,dhc_195,dhc_organohalide,pathway_module,,"Sequential reductive-dehalogenase system (RdhA family): PceA (PCE to TCE), TceA (TCE to cis-DCE), VcrA and BvcA (cis-DCE and VC to ethene). Enables organohalide respiration to the terminal ethene product.",https://pubmed.ncbi.nlm.nih.gov/17513589/,,,,,,,,,,,,,seed_curated
gene:dhc_pcea,PceA reductive dehalogenase (Dhc),gene,dhc_195,dhc_organohalide,enzyme_cluster,DET0318 (pceA),First-step reductive dehalogenase; converts PCE to TCE.,https://pubmed.ncbi.nlm.nih.gov/17513589/,,,,,,,,,,,,,seed_curated
gene:dhc_tcea,TceA reductive dehalogenase (Dhc),gene,dhc_195,dhc_organohalide,enzyme_cluster,DET0079 (tceA),TCE-dechlorinating reductive dehalogenase; converts TCE to cis-DCE.,https://pubmed.ncbi.nlm.nih.gov/17513589/,,,,,,,,,,,,,seed_curated
gene:dhc_vcra,VcrA/BvcA reductive dehalogenase (Dhc),gene,dhc_195,dhc_organohalide,enzyme_cluster,vcrA (VS strain) / bvcA (BAV1),Terminal-step reductive dehalogenase; converts cis-DCE and VC to non-toxic ethene.,https://pubmed.ncbi.nlm.nih.gov/17513589/,,,,,,,,,,,,,seed_curated
strain:ppu_kt2440,Pseudomonas putida KT2440,strain,ppu_kt2440,,organism,NCBI Taxonomy 160488,"Aerobic soil pseudomonad; workhorse organism for oxidative aromatic and PAH catabolism. Multiple ring-hydroxylating dioxygenase systems including toluene/xylene monooxygenases, naphthalene dioxygenase, and aromatic amine oxidases. Distinct from Geobacter anaerobic route. [CAVEAT] CAVEAT - for the TodC1C2 toluene-dioxygenase catalytic claim a tod-specific enzymology citation should also be added, since KT2440 itself is not the classic tod host (tod originates in P. putida F1).",https://pubmed.ncbi.nlm.nih.gov/12534463/,,,,,,,,,,,,,seed_curated
module:ppu_pah_ring_hydroxylation,KT2440 PAH ring-hydroxylation module,module,ppu_kt2440,ppu_pah_ring_hydroxylation,pathway_module,,"Ring-hydroxylating-dioxygenase system based on todC1C2 (toluene dioxygenase) and NahAaAbAcAd (naphthalene dioxygenase) homologs. Initiates oxidative attack on aromatic hydrocarbons including benzo[a]pyrene ring systems. [CAVEAT] CAVEAT - no fetched source shows KT2440 NDO forming BaP-7,8-cis-dihydrodiol, so that specific compound/edge should be flagged as inferred or removed.",https://pubmed.ncbi.nlm.nih.gov/10986254/,,,,,,,,,,,,,seed_curated
gene:ppu_todc,TodC1C2 toluene dioxygenase (KT2440),gene,ppu_kt2440,ppu_pah_ring_hydroxylation,enzyme_cluster,PP_3268-PP_3269 (todC1 todC2 homologs),"Ring-hydroxylating dioxygenase; initial oxidative attack on aromatic ring. [CAVEAT] CAVEAT - for the TodC1C2 toluene-dioxygenase catalytic claim a tod-specific enzymology citation should also be added, since KT2440 itself is not the classic tod host (tod originates in P. putida F1).",https://pubmed.ncbi.nlm.nih.gov/12534463/,,,,,,,,,,,,,seed_curated
gene:ppu_ndo,NdoB / naphthalene dioxygenase homolog (KT2440),gene,ppu_kt2440,ppu_pah_ring_hydroxylation,enzyme_cluster,PP_2569-PP_2571 (nahAaAb homologs),"Naphthalene dioxygenase family enzyme active on PAH substrates including benzo[a]pyrene under some conditions. [CAVEAT] CAVEAT - no fetched source shows KT2440 NDO forming BaP-7,8-cis-dihydrodiol, so that specific compound/edge should be flagged as inferred or removed.",https://pubmed.ncbi.nlm.nih.gov/10986254/,,,,,,,,,,,,,seed_curated
compound:bap,Benzo[a]pyrene,compound,shared,,polycyclic_aromatic_hydrocarbon,BaP,"PAH exposure anchor; canonical CYP1A1/1B1 substrate in humans, aerobic dioxygenase substrate in bacteria.",https://academic.oup.com/toxsci/article/145/1/5/1627571,,,,,,,,,,,,,seed_curated
compound:bap_dihydrodiol,"BaP-7,8-cis-dihydrodiol (bacterial)",compound,shared,,aromatic_intermediate,"BaP-7,8-diol","cis-dihydrodiol product of bacterial dioxygenase attack on BaP; distinct from the CYP1A1-derived arene-oxide + trans-dihydrodiol that becomes BPDE in mammalian cells. [CAVEAT] CAVEAT - no fetched source shows KT2440 NDO forming BaP-7,8-cis-dihydrodiol, so that specific compound/edge should be flagged as inferred or removed.",https://pubmed.ncbi.nlm.nih.gov/10986254/,,,,,,,,,,,,,seed_curated
compound:four_abp,4-Aminobiphenyl,compound,shared,,aromatic_amine,4-ABP,Aromatic-amine bladder carcinogen; substrate for both bacterial aromatic-amine oxidase (aerobic deamination) and human CYP1A2 N-hydroxylation followed by NAT2 acetylation.,https://pubmed.ncbi.nlm.nih.gov/22367088/,,,,,,,,,,,,,seed_curated
strain:rho_erythropolis,Rhodococcus erythropolis,strain,rho_erythropolis,,organism,NCBI Taxonomy 1833,"Aerobic actinomycete with broad xenobiotic catabolism. Uses F420-dependent oxidoreductases (FDR-A/FDR-B family) to reduce the bisfuran ring of aflatoxin B1, opening the toxic lactone and disabling the CYP1A2-derived exo-8,9-epoxide bioactivation route. Distinct from mammalian bioactivation.",https://pubmed.ncbi.nlm.nih.gov/16061299/,,,,,,,,,,,,,seed_curated
module:rho_erythropolis_afb1_reduction,R. erythropolis AFB1-reductase module,module,rho_erythropolis,rho_erythropolis_afb1_reduction,pathway_module,,F420-dependent oxidoreductase system for the reduction and detoxification of aflatoxin B1. Substrate: AFB1; product: less-toxic reduced AFB1 species.,https://pubmed.ncbi.nlm.nih.gov/16061299/,,,,,,,,,,,,,seed_curated
